f,i,j,w
1,21,12,0.4948212
1,21,12,0.1043818
1,22,12,0.43694007
1,23,11,0.073711395
1,23,11,0.050099537
1,24,11,0.2601903
1,25,11,0.63477534
1,25,11,0.28849497
1,26,10,0.10293688
1,26,10,0.054333188
1,27,10,0.37239748
1,27,10,0.011912734
1,28,9,0.10331832
1,29,9,0.4945672
1,29,9,0.37072253
1,30,8,0.15216143
1,30,8,0.24421504
1,30,8,0.034042206
1,31,7,0.13054089
1,31,7,0.12082041
1,32,7,0.79890645
1,32,6,0.17275591
1,32,6,0.09254636
1,33,5,0.17029011
1,33,5,0.33150625
1,33,4,0.02226664
1,33,4,0.0054175756
1,34,3,0.0073500853
1,34,3,0.29805923
1,34,3,0.44041878
1,34,2,0.15106979
1,34,2,0.21660404
1,34,1,0.07254906
1,34,1,0.10821465
0,0,0,NaN
2,82,1,0.8718444
2,82,1,0.39570597
2,82,2,0.74239355
2,82,2,0.31003994
2,82,3,0.526753
2,82,3,0.18774089
2,82,3,0.0018740006
2,83,4,0.5411633
2,83,4,0.06777706
2,83,5,0.31518424
2,83,5,0.041958243
2,84,6,0.696805
2,84,6,0.20553668
2,84,7,0.17760621
2,85,7,0.46941906
2,85,7,0.082892306
2,86,8,0.8152882
2,86,8,0.2544716
2,86,8,0.0066930065
2,87,9,0.4616102
2,87,9,0.025147103
2,88,9,0.11466359
2,89,10,0.91733044
2,89,10,0.28273907
2,90,10,0.3387338
2,90,11,0.23877464
4,259,1,0.06412798
4,259,1,0.022631677
4,259,2,0.23716709
4,259,3,0.59293085
4,259,3,0.16005456
4,258,4,0.04326456
4,258,5,0.20759203
4,258,5,0.07481839
4,258,6,0.26892447
4,258,7,0.53443414
4,258,7,0.10900968
4,258,8,0.38117307
4,258,9,0.69782394
4,258,9,0.049866613
4,257,10,0.018518541
4,257,11,0.062159646
4,257,12,0.11938042
4,257,12,0.03148775
4,257,13,0.077243395
4,257,14,0.11661804
4,257,14,0.009747673
4,257,15,0.035701383
4,257,16,0.035330825
4,258,17,0.94718486
4,258,17,0.22923574
4,258,18,0.46311873
4,258,19,0.6396587
4,258,19,0.10609764
4,258,20,0.25096792
4,258,21,0.3116814
4,258,21,0.03308125
4,252,27,0.350156
4,252,28,0.23299126
4,252,29,0.13524655
4,252,30,0.05193485
4,253,31,0.23426361
4,253,32,0.15581356
4,253,33,0.075498015
4,254,34,0.27982396
4,254,35,0.19558783
4,254,36,0.07337232
4,255,37,0.37491617
4,255,38,0.1998742
4,256,39,0.6267854
4,256,40,0.34975594
4,257,40,0.014688757
4,257,41,0.08199167
4,258,42,0.3634602
4,258,43,0.18118724
4,259,44,0.6443868
4,259,44,0.011119974
4,260,45,0.24832915
4,261,45,0.029844593
4,262,46,0.4763788
4,262,47,0.2520712
4,263,47,0.24421708
4,264,47,0.045118023
4,265,48,0.6198216
4,265,48,0.021809818
4,266,48,0.02035966
4,267,49,0.27101782
4,268,49,0.29089916
4,269,49,0.298778
0,0,0,NaN
5,269,67,0.15406033
5,268,67,0.09707979
5,267,67,0.030459847
5,266,68,0.17179634
5,265,68,0.037267048
5,265,68,0.27962118
5,264,69,0.6678655
5,263,69,0.25675637
5,262,69,0.010515716
5,262,70,0.5223563
5,261,71,0.6738246
5,260,71,0.13532703
5,259,72,0.027332848
5,259,72,0.018734261
5,258,73,0.08277122
5,258,74,0.47556266
5,257,75,0.3052834
5,257,76,0.8980509
5,256,76,0.061969988
5,256,77,0.26259178
5,255,78,0.14169738
5,255,79,0.3974951
5,254,80,0.10751717
5,254,81,0.37109727
5,254,82,0.65364605
5,253,83,0.20155856
5,253,84,0.4452997
5,253,85,0.67253256
5,252,86,0.13939321
5,252,87,0.32134652
5,252,88,0.47110978
5,252,89,0.58382374
5,251,90,0.082355306
1,1,19,0.33785352
1,2,19,0.21495707
1,3,19,0.12045024
1,4,19,0.05362043
1,5,19,0.012817053
1,6,20,0.100713275
1,7,20,0.008612384
1,9,20,0.7251046
1,10,20,0.5986734
1,11,20,0.49405983
1,12,20,0.40686294
1,13,20,0.33249423
1,14,20,0.26627493
1,15,20,0.20353025
1,16,20,0.13968383
1,17,20,0.07035446
1,19,20,0.86027074
1,20,20,0.8576634
1,21,19,0.05247371
1,22,19,0.13595122
1,23,19,0.2102475
1,24,19,0.27378085
1,25,19,0.32590616
1,26,19,0.36701873
1,27,18,0.02475251
1,28,18,0.09790133
1,29,18,0.16094318
1,30,18,0.21949653
1,31,17,0.02407681
1,32,17,0.10338096
1,33,17,0.19698764
1,34,16,0.019944027
1,35,16,0.1495393
1,36,16,0.3322355
1,37,15,0.11045737
1,38,15,0.38526347
1,39,14,0.077957295
1,40,14,0.4996962
1,40,13,0.0014039914
1,41,13,0.12971123
1,42,12,0.06973039
1,43,12,0.505217
1,44,11,0.32732728
1,44,11,0.2780806
1,45,10,0.398921
1,45,9,0.012566362
1,46,8,0.0006119961
1,47,8,0.7078566
1,47,7,0.24325469
1,47,6,0.018160267
1,48,5,0.06929677
1,48,5,0.34738216
1,48,4,0.08558975
1,49,3,0.6279277
1,49,2,0.45886678
1,49,1,0.3609997
0,0,0,NaN
2,67,1,0.18614936
2,67,2,0.15313958
2,67,3,0.0705763
2,68,4,0.7222415
2,68,5,0.59354746
2,68,5,0.031261798
2,69,6,0.26883337
2,69,7,0.25575292
2,69,8,0.029531404
2,70,8,0.0006678746
2,71,9,0.283736
2,71,10,0.21740007
2,72,11,0.6834732
2,72,11,0.00951694
2,73,12,0.230805
2,74,12,0.0912393
2,75,13,0.48298213
2,76,13,0.08584318
2,76,14,0.08854111
2,77,14,0.032660797
2,78,15,0.2731372
2,79,15,0.11711363
2,80,16,0.486861
2,81,16,0.2837409
2,82,16,0.046587314
2,83,17,0.52592695
2,84,17,0.2954682
2,85,17,0.06912202
2,86,18,0.58915496
2,87,18,0.38242358
2,88,18,0.19796717
2,89,18,0.041269965
2,90,19,0.48877212
4,251,1,0.17119174
4,251,2,0.2249099
4,251,3,0.24381286
4,251,4,0.22924486
4,251,5,0.1834917
4,250,6,0.00437494
4,250,7,0.0013003302
4,250,9,0.18653245
4,250,10,0.2122227
4,250,11,0.21424747
4,250,12,0.1976235
4,250,13,0.16755466
4,250,14,0.12933666
4,250,15,0.08826062
4,250,16,0.049516615
4,250,17,0.018098796
4,250,19,0.12988839
4,250,20,0.03725666
4,251,21,0.7512264
4,251,22,0.58124185
4,251,23,0.42558447
4,251,24,0.28646195
4,251,25,0.16514082
4,251,26,0.06184251
4,245,31,0.13077764
4,245,33,0.122681364
4,246,34,0.5334799
4,246,35,0.15139581
4,246,37,0.2408698
4,247,38,0.5344467
4,247,39,0.13920596
4,247,41,0.18183364
4,248,42,0.47966647
4,248,43,0.1097168
4,249,44,0.009885905
4,249,46,0.3067643
4,250,47,0.4244943
4,250,48,0.07904918
4,251,50,0.76377296
4,251,51,0.116994224
4,252,52,0.29356217
4,253,53,0.34277955
4,253,54,0.016568659
4,254,55,0.04982673
4,255,56,0.04818748
4,256,57,0.04119864
4,257,58,0.05070244
4,258,59,0.086550176
4,259,60,0.14118496
4,260,61,0.18311307
4,261,62,0.14949802
4,263,62,0.04694368
4,264,63,0.2943828
4,265,63,0.008770215
4,267,64,0.49227425
4,268,64,0.06314627
4,270,64,NaN
5,268,52,0.057617288
5,267,52,0.18731332
5,265,53,0.16355617
5,264,53,0.29766175
5,263,54,0.8933554
5,261,54,0.06300244
5,260,55,0.2293784
5,259,56,0.40191337
5,258,57,0.52059513
5,257,58,0.55737597
5,256,59,0.50847465
5,255,60,0.3876283
5,254,61,0.22051844
5,253,62,0.040378008
5,253,63,0.45284668
5,252,64,0.19807385
5,251,65,0.032082997
5,251,66,0.003214832
5,250,68,0.2711573
5,250,69,0.47646254
5,249,70,0.11039438
5,249,72,0.89520437
5,248,73,0.25314516
5,248,74,0.31454203
5,247,75,0.016412934
5,247,77,0.4377764
5,247,78,0.39876857
5,246,79,0.022348844
5,246,81,0.42043844
5,246,82,0.32610476
5,245,83,0.002000322
5,245,85,0.23846139
5,245,86,0.16073237
5,245,88,0.71204156
5,245,89,0.4997836
5,245,90,0.099236295
1,2,26,0.50617844
1,3,26,0.18656687
1,5,26,0.424244
1,6,26,0.1906844
1,7,26,0.035455324
1,9,26,0.16089788
1,10,26,0.056675013
1,12,26,0.1406298
1,13,26,0.07302172
1,14,26,0.014385665
1,16,26,0.12378744
1,17,26,0.062562704
1,19,26,0.24845296
